label,switch_pred,switch_nn_output,f0,f1,f2,f3,f4
1,1,619456,-394,368,-157,-537,-515
1,1,514561,210,368,-420,-537,-515
0,0,-1150981,45,-756,-293,489,509
1,1,89113,45,-600,686,489,509
1,1,651586,-889,368,-420,-537,-515
0,0,-1150981,45,-756,-293,489,509
1,1,514561,210,368,-420,-537,-515
1,1,514561,210,368,-420,-537,-515
1,1,511096,238,368,-420,-537,-515
1,1,514561,210,368,-420,-537,-515
0,0,-1150981,45,-756,-293,489,509
0,0,-887529,210,-756,-293,-537,-515
1,1,514561,210,368,-420,-537,-515
1,1,464280,540,368,-420,-537,-515
1,1,514561,210,368,-420,-537,-515
0,0,-1150981,45,-756,-293,489,509
0,0,-1150981,45,-756,-293,489,509
1,1,833656,-2345,368,-420,-537,-515
0,0,-1150981,45,-756,-293,489,509
1,1,514561,210,368,-420,-537,-515
1,1,-14801,45,368,686,489,509
1,1,-14801,45,368,686,489,509
1,1,744196,-1630,368,-420,-537,-515
1,1,514561,210,368,-420,-537,-515
1,1,514561,210,368,-420,-537,-515
1,1,514561,210,368,-420,-537,-515
1,1,586381,-367,368,-420,-537,-515
0,0,-1150981,45,-756,-293,489,509
0,0,-791904,-2839,-913,-420,-537,-515
0,0,-1150981,45,-756,-293,489,509
0,0,-887529,210,-756,-293,-537,-515
0,0,-1150981,45,-756,-293,489,509
1,1,514561,210,368,-420,-537,-515
1,1,-14801,45,368,686,489,509
0,0,-1150981,45,-756,-293,489,509
1,1,-14801,45,368,686,489,509
1,1,651586,-889,368,-420,-537,-515
1,1,511096,238,368,-420,-537,-515
1,1,89113,45,-600,686,489,509
1,1,89113,45,-600,686,489,509
1,1,514561,210,368,-420,-537,-515
0,0,-1150981,45,-756,-293,489,509
0,0,-1150981,45,-756,-293,489,509
1,1,805936,-2125,368,-420,-537,-515
1,1,514561,210,368,-420,-537,-515
1,1,-14801,45,368,686,489,509
0,0,-1150981,45,-756,-293,489,509
0,1,514561,210,368,-420,-537,-515
1,1,89113,45,-600,686,489,509
1,1,514561,210,368,-420,-537,-515
1,1,-14801,45,368,686,489,509
0,1,-182213,45,368,-157,489,509
1,1,511096,238,368,-420,-537,-515
1,1,89113,45,-600,686,489,509
1,1,610636,-559,368,-420,-537,-515
1,1,-14801,45,368,686,489,509
1,1,864972,-2619,368,-420,-537,-515
1,1,-14801,45,368,686,489,509
0,0,-1150981,45,-756,-293,489,509
1,1,-14801,45,368,686,489,509
1,1,589846,-394,368,-420,-537,-515
1,1,473142,485,368,-420,-537,-515
0,0,-1150981,45,-756,-293,489,509
1,1,906069,-3004,368,-420,-537,-515
0,0,-1150981,45,-756,-293,489,509
1,1,514561,210,368,-420,-537,-515
0,0,-887529,210,-756,-293,-537,-515
1,1,514561,210,368,-420,-537,-515
1,1,514561,210,368,-420,-537,-515
1,1,89113,45,-600,686,489,509
1,1,511096,238,368,-420,-537,-515
1,1,514561,210,368,-420,-537,-515
1,1,514561,210,368,-420,-537,-515
1,1,514561,210,368,-420,-537,-515
1,1,511096,238,368,-420,-537,-515
0,0,-1150981,45,-756,-293,489,509
0,0,-1150981,45,-756,-293,489,509
1,1,768451,-1823,368,-420,-537,-515
