label,switch_pred,switch_nn_output,f0,f1,f2,f3,f4,f5,f6,f7,f8
0,0,-1810707,45,-756,-293,489,509,-345,-286,16,1808
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
1,0,-113276,45,368,686,489,509,-345,-286,-6,-32
0,0,-1792752,45,-756,-293,489,509,-345,-286,51,3656
0,0,-1518317,210,-756,-293,-537,-515,140,-1050,-23,-44
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
1,0,-163318,45,368,686,489,509,-345,-286,62,-42
0,0,-1308244,45,-756,-293,489,509,1841,-286,88,-33
0,0,-1917285,45,-756,-293,489,509,-345,-286,-15,67
1,1,502632,-92,368,-420,-537,-515,-345,478,-23,-45
1,1,181556,238,368,-420,-537,-515,-345,478,-23,-45
0,0,-115034,45,368,686,489,509,-345,-286,-22,-43
1,0,-116956,45,368,686,489,509,-345,-286,-22,-44
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
0,0,-1965339,210,-756,-293,-537,-515,-345,-1050,-22,-44
1,0,-152208,45,368,686,489,509,-345,-286,39,-44
1,1,78541,45,-600,686,489,509,869,-286,-21,-30
0,0,-116956,45,368,686,489,509,-345,-286,-22,-44
1,1,704829,45,368,686,489,509,869,-286,-21,-44
1,1,749010,45,-600,686,489,509,1841,-286,876,-34
1,1,172602,210,368,-420,-537,-515,-345,478,-21,-45
1,1,1162262,-1438,368,-420,-537,-515,-345,478,-23,-45
0,0,-1914327,45,-756,-293,489,509,-345,-286,-18,-36
1,1,578959,45,-600,686,489,509,1841,-286,73,-39
1,0,-114448,45,368,686,489,509,-345,-286,-21,-42
0,0,-1965339,210,-756,-293,-537,-515,-345,-1050,-22,-44
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
0,0,-1518317,210,-756,-293,-537,-515,140,-1050,-23,-44
1,1,204504,348,368,-420,-537,-515,-345,478,-23,-45
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
1,1,688157,45,-600,686,489,509,1841,-286,1249,-32
1,1,1116687,-2922,368,-420,-537,-515,-345,478,-23,-45
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
0,0,-1518317,210,-756,-293,-537,-515,140,-1050,-23,-44
0,1,175696,210,368,-420,-537,-515,-345,478,-24,-45
1,0,-114448,45,368,686,489,509,-345,-286,-21,-42
1,1,78541,45,-600,686,489,509,869,-286,-22,-31
1,0,-114448,45,368,686,489,509,-345,-286,-21,-42
1,1,1110996,-2564,368,-420,-537,-515,-345,478,-23,-45
1,1,1156155,-394,368,-157,-537,-515,-345,-1050,-22,-43
0,0,-116956,45,368,686,489,509,-345,-286,-22,-44
1,1,1126040,-889,368,-420,-537,-515,-345,478,-21,-45
1,1,175110,210,368,-420,-537,-515,-345,478,-23,-45
0,1,172602,210,368,-420,-537,-515,-345,478,-21,-45
1,0,-118878,45,368,686,489,509,-345,-286,-19,-44
0,0,-1919736,45,-756,-293,489,509,-345,-286,-8,239
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
0,0,-1899960,45,-756,-293,489,509,-345,-286,-1,8
0,0,-1518317,210,-756,-293,-537,-515,140,-1050,-23,-44
1,1,320532,210,-600,686,-537,-515,140,-1050,-23,-42
1,0,-114448,45,368,686,489,509,-345,-286,-21,-42
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
1,1,704829,45,368,686,489,509,869,-286,-21,-44
1,0,-116956,45,368,686,489,509,-345,-286,-22,-44
0,0,-1908633,45,-756,-293,489,509,-345,-286,-12,-36
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
1,1,181556,238,368,-420,-537,-515,-345,478,-23,-45
1,1,175110,210,368,-420,-537,-515,-345,478,-23,-45
1,1,428468,45,-600,686,489,509,1355,-286,-20,84
1,1,181556,238,368,-420,-537,-515,-345,478,-23,-45
1,1,173188,210,368,-420,-537,-515,-345,478,-22,-45
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
1,1,1117239,-2235,368,-420,-537,-515,-345,478,-23,-45
1,1,1076816,-889,368,-420,-537,-515,-345,478,122,-45
1,1,866138,45,-600,686,489,509,1355,-286,-18,611
1,1,71104,45,-600,686,489,509,869,-286,-21,-38
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
1,1,580028,45,-600,686,489,509,1841,-286,69,-38
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
1,1,562653,45,-600,686,489,509,1841,-286,-17,-39
1,1,94830,45,-600,686,489,509,869,-286,-21,-13
0,0,-1916799,45,-756,-293,489,509,-345,-286,-16,35
0,0,-1965339,210,-756,-293,-537,-515,-345,-1050,-22,-44
1,1,172602,210,368,-420,-537,-515,-345,478,-21,-45
1,1,221011,45,-600,686,489,509,-345,-286,-21,-4
0,0,-1403628,45,368,-420,489,-515,-345,1241,-24,-45
1,1,706648,45,368,686,489,509,869,-286,-22,-44
1,1,175110,210,368,-420,-537,-515,-345,478,-23,-45
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
1,1,3313488,210,368,-420,-537,-515,2083,478,-23,-45
1,0,-116956,45,368,686,489,509,-345,-286,-22,-44
1,0,70518,45,-600,686,489,509,869,-286,-21,-41
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
1,1,1255828,210,368,-420,-537,-515,140,478,-24,-45
1,1,221011,45,-600,686,489,509,-345,-286,-21,-38
1,1,316480,45,368,686,489,509,383,-286,-22,-42
