label,dur,rate,proto,dpkts,sttl,dwin,dttl,smean,sbytes,decision,nn_output,threshold,result
ATTACK,0,0,512,4,508,0,120,54,7,0,0,-420650,MISSED
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,96,68,62,1,58,48,25,0,-991181,-420650,ALLOWED (Correct)
ATTACK,2,512,96,364,124,1,504,13,23,0,-807838,-420650,MISSED
ATTACK,0,0,512,0,508,0,0,38,2,0,-807838,-420650,MISSED
NORMAL,0,0,96,68,62,1,58,48,25,0,-991181,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,2,512,96,164,62,1,58,27,33,0,-998170,-420650,ALLOWED (Correct)
NORMAL,0,0,272,4,62,0,58,24,1,0,-750623,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,96,68,62,1,58,91,58,0,-926228,-420650,ALLOWED (Correct)
NORMAL,0,0,96,292,62,1,58,17,65,0,-2215316,-420650,ALLOWED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,0,-2215316,-420650,MISSED
NORMAL,0,0,96,68,62,1,58,53,24,0,-988346,-420650,ALLOWED (Correct)
ATTACK,56,512,272,0,508,0,0,26,104,1,168984,-420650,BLOCKED (Correct)
ATTACK,1,512,96,28,508,1,504,25,11,1,-377912,-420650,BLOCKED (Correct)
ATTACK,0,0,96,28,508,1,504,16,8,1,-382049,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,-382049,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,229,14,1,-174991,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,-174991,-420650,BLOCKED (Correct)
NORMAL,0,0,96,164,62,1,58,19,39,0,-998354,-420650,ALLOWED (Correct)
NORMAL,0,0,512,0,0,0,0,11,0,0,-998354,-420650,ALLOWED (Correct)
NORMAL,0,0,96,116,62,1,58,70,71,0,-917918,-420650,ALLOWED (Correct)
NORMAL,0,0,272,4,62,0,58,21,1,0,-752656,-420650,ALLOWED (Correct)
NORMAL,0,0,96,52,62,1,58,21,22,0,-1008316,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,96,60,508,1,504,16,11,1,-375221,-420650,BLOCKED (Correct)
NORMAL,0,0,96,292,62,1,58,17,65,0,-2215316,-420650,ALLOWED (Correct)
ATTACK,8,512,96,28,508,1,504,16,8,1,-382049,-420650,BLOCKED (Correct)
ATTACK,6,512,512,0,508,0,0,41,36,1,-382049,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,-382049,-420650,BLOCKED (Correct)
ATTACK,1,512,96,116,124,1,504,511,512,0,-1022246,-420650,MISSED
ATTACK,1,512,96,84,124,1,504,54,28,0,-791571,-420650,MISSED
ATTACK,15,273,272,0,508,0,0,45,6,1,379426,-420650,BLOCKED (Correct)
NORMAL,0,0,96,28,62,1,58,14,4,0,-1029047,-420650,ALLOWED (Correct)
NORMAL,0,0,96,92,62,1,58,34,31,0,-995278,-420650,ALLOWED (Correct)
ATTACK,0,0,512,0,508,0,0,27,2,0,-995278,-420650,MISSED
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,96,28,508,1,504,16,8,1,-382049,-420650,BLOCKED (Correct)
NORMAL,0,0,96,364,62,1,58,16,80,0,-2201161,-420650,ALLOWED (Correct)
NORMAL,0,0,272,0,508,0,0,223,14,1,-163664,-420650,FALSE ALARM
ATTACK,0,0,96,36,124,1,504,10,6,0,-823431,-420650,MISSED
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,1,512,96,28,508,1,504,16,8,1,-382049,-420650,BLOCKED (Correct)
NORMAL,0,0,96,4,508,1,120,9,3,1,-390610,-420650,FALSE ALARM
ATTACK,0,0,512,0,508,0,0,38,2,1,-390610,-420650,BLOCKED (Correct)
ATTACK,0,0,96,28,124,1,504,10,5,0,-824466,-420650,MISSED
ATTACK,0,0,512,0,508,0,0,38,2,0,-824466,-420650,MISSED
ATTACK,0,0,96,28,508,1,504,16,8,1,-382049,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,-382049,-420650,BLOCKED (Correct)
ATTACK,1,512,96,28,508,1,504,12,7,1,-382677,-420650,BLOCKED (Correct)
NORMAL,0,0,96,36,62,1,58,54,16,0,-994970,-420650,ALLOWED (Correct)
ATTACK,1,512,96,36,508,1,504,15,11,1,-375221,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,148,9,1,-375221,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,33,2,1,-375221,-420650,BLOCKED (Correct)
NORMAL,0,0,96,164,62,1,58,345,512,1,-2159,-420650,FALSE ALARM
ATTACK,0,0,512,0,508,0,0,38,2,1,-2159,-420650,BLOCKED (Correct)
NORMAL,1,512,96,68,62,1,58,48,25,0,-991181,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,272,4,62,0,58,24,1,0,-750623,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,96,28,124,1,504,10,5,0,-824466,-420650,MISSED
ATTACK,0,0,512,0,508,0,0,38,2,0,-824466,-420650,MISSED
ATTACK,0,0,272,0,508,0,0,30,2,1,415860,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,96,164,62,1,58,339,512,0,-1203362,-420650,ALLOWED (Correct)
NORMAL,0,0,96,140,62,1,58,20,34,0,-999643,-420650,ALLOWED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,0,-999643,-420650,MISSED
NORMAL,0,0,96,20,508,1,504,14,7,1,-382677,-420650,FALSE ALARM
ATTACK,0,0,96,76,124,1,504,12,14,0,-816458,-420650,MISSED
NORMAL,1,512,96,44,508,1,504,12,8,1,-380757,-420650,FALSE ALARM
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,512,0,0,0,0,11,0,1,451469,-420650,FALSE ALARM
ATTACK,1,512,96,36,508,1,504,16,13,1,-371313,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,-371313,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,-371313,-420650,BLOCKED (Correct)
ATTACK,3,512,96,84,124,1,504,13,19,0,-813016,-420650,MISSED
ATTACK,0,0,96,68,124,1,504,10,5,0,-824466,-420650,MISSED
