label,dur,rate,proto,dpkts,sttl,dwin,dttl,smean,sbytes,decision,nn_output,threshold
ATTACK,0,0,512,4,508,0,120,54,7,1,1568539,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,68,62,1,58,48,25,0,-727483,-420650
ATTACK,2,512,96,364,124,1,504,13,23,1,1354819,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1231695,-420650
NORMAL,0,0,96,68,62,1,58,48,25,0,-727483,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1231490,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,2,512,96,164,62,1,58,27,33,0,-696923,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1231575,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,68,62,1,58,91,58,0,-627364,-420650
NORMAL,0,0,96,292,62,1,58,17,65,0,-1731133,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1224364,-420650
NORMAL,0,0,96,68,62,1,58,53,24,0,-718351,-420650
ATTACK,56,512,272,0,508,0,0,26,104,1,168984,-420650
ATTACK,1,512,96,28,508,1,504,25,11,1,680753,-420650
ATTACK,0,0,96,28,508,1,504,16,8,1,683624,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1219045,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,229,14,1,-174991,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1215554,-420650
NORMAL,0,0,96,164,62,1,58,19,39,0,-768112,-420650
NORMAL,0,0,512,0,0,0,0,11,0,1,1216310,-420650
NORMAL,0,0,96,116,62,1,58,70,71,0,-622537,-420650
NORMAL,0,0,272,4,62,0,58,21,1,0,-506881,-420650
NORMAL,0,0,96,52,62,1,58,21,22,0,-783681,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,96,60,508,1,504,16,11,1,782810,-420650
NORMAL,0,0,96,292,62,1,58,17,65,0,-1731133,-420650
ATTACK,8,512,96,28,508,1,504,16,8,1,683624,-420650
ATTACK,6,512,512,0,508,0,0,41,36,1,1174977,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1172347,-420650
ATTACK,1,512,96,116,124,1,504,511,512,1,652042,-420650
ATTACK,1,512,96,84,124,1,504,54,28,1,1344445,-420650
ATTACK,15,273,272,0,508,0,0,45,6,1,379426,-420650
NORMAL,0,0,96,28,62,1,58,14,4,0,-815210,-420650
NORMAL,0,0,96,92,62,1,58,34,31,0,-710151,-420650
ATTACK,0,0,512,0,508,0,0,27,2,1,1162775,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,96,28,508,1,504,16,8,1,683624,-420650
NORMAL,0,0,96,364,62,1,58,16,80,0,-1539106,-420650
NORMAL,0,0,272,0,508,0,0,223,14,1,-163664,-420650
ATTACK,0,0,96,36,124,1,504,10,6,1,1190779,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,1,512,96,28,508,1,504,16,8,1,683624,-420650
NORMAL,0,0,96,4,508,1,120,9,3,1,-116490,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1144072,-420650
ATTACK,0,0,96,28,124,1,504,10,5,1,1165576,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1137916,-420650
ATTACK,0,0,96,28,508,1,504,16,8,1,683624,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1132505,-420650
ATTACK,1,512,96,28,508,1,504,12,7,1,683971,-420650
NORMAL,0,0,96,36,62,1,58,54,16,0,-772316,-420650
ATTACK,1,512,96,36,508,1,504,15,11,1,706286,-420650
ATTACK,0,0,512,0,508,0,0,148,9,1,1111722,-420650
ATTACK,0,0,512,0,508,0,0,33,2,1,1109046,-420650
NORMAL,0,0,96,164,62,1,58,345,512,0,-1262668,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1101731,-420650
NORMAL,1,512,96,68,62,1,58,48,25,0,-727483,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,96,28,124,1,504,10,5,1,1165576,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1092934,-420650
ATTACK,0,0,272,0,508,0,0,30,2,1,415860,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1088264,-420650
NORMAL,0,0,96,164,62,1,58,339,512,0,-1270094,-420650
NORMAL,0,0,96,140,62,1,58,20,34,0,-731645,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1079733,-420650
NORMAL,0,0,96,20,508,1,504,14,7,1,658730,-420650
ATTACK,0,0,96,76,124,1,504,12,14,1,1321779,-420650
NORMAL,1,512,96,44,508,1,504,12,8,1,734120,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,512,0,0,0,0,11,0,1,1077269,-420650
ATTACK,1,512,96,36,508,1,504,16,13,1,701360,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1072494,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1069005,-420650
ATTACK,3,512,96,84,124,1,504,13,19,1,1347407,-420650
ATTACK,0,0,96,68,124,1,504,10,5,1,1305746,-420650
ATTACK,0,0,512,0,0,0,0,18,0,1,1068297,-420650
ATTACK,0,0,96,20,508,1,504,30,12,1,655490,-420650
ATTACK,0,0,96,36,124,1,504,28,12,1,1189028,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,20,508,1,504,20,9,1,657567,-420650
ATTACK,0,0,96,20,508,1,504,37,14,1,653473,-420650
ATTACK,2,512,96,84,124,1,504,13,18,1,1347407,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,30,2,1,415860,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,272,0,508,0,0,294,18,1,-184569,-420650
ATTACK,0,0,96,60,124,1,504,30,13,1,1273368,-420650
ATTACK,40,512,512,0,508,0,0,13,33,1,1047477,-420650
ATTACK,0,0,96,44,508,1,504,15,11,1,731419,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1044022,-420650
ATTACK,1,512,96,84,124,1,504,59,44,1,1328213,-420650
ATTACK,0,0,96,44,508,1,504,16,10,1,733497,-420650
ATTACK,7,512,96,84,124,1,504,13,19,1,1347407,-420650
ATTACK,0,0,96,28,508,1,504,424,272,1,985909,-420650
ATTACK,0,0,96,20,508,1,504,231,106,1,664503,-420650
NORMAL,0,0,272,12,62,0,58,59,8,0,-475713,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1037902,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1037495,-420650
ATTACK,0,0,96,20,508,1,504,19,9,1,657522,-420650
NORMAL,0,0,272,4,62,0,58,20,1,0,-507477,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,452,62,1,58,32,146,0,-1465218,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1020357,-420650
NORMAL,0,0,96,20,508,1,504,13,7,1,658730,-420650
NORMAL,0,0,96,92,62,1,58,78,67,0,-623347,-420650
NORMAL,0,0,96,244,62,1,58,17,55,0,-1863814,-420650
ATTACK,0,0,96,28,508,1,504,16,8,1,683624,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,108,62,1,58,67,69,0,-626721,-420650
