label,dur,rate,proto,dpkts,sttl,dwin,dttl,smean,sbytes,decision,nn_output,threshold,result
ATTACK,0,0,512,4,508,0,120,54,7,0,0,-420650,MISSED
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650,BLOCKED (Correct)
NORMAL,0,0,96,68,62,1,58,48,25,0,-746636,-420650,ALLOWED (Correct)
ATTACK,2,512,96,364,124,1,504,13,23,0,-582005,-420650,MISSED
ATTACK,0,0,512,0,508,0,0,38,2,0,-582005,-420650,MISSED
NORMAL,0,0,96,68,62,1,58,48,25,0,-746636,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,-47988,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650,BLOCKED (Correct)
NORMAL,2,512,96,164,62,1,58,27,33,1,135262,-420650,FALSE ALARM
NORMAL,0,0,272,4,62,0,58,24,1,0,-725129,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,-47988,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650,BLOCKED (Correct)
NORMAL,0,0,96,68,62,1,58,91,58,0,-707719,-420650,ALLOWED (Correct)
NORMAL,0,0,96,292,62,1,58,17,65,0,-1275676,-420650,ALLOWED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,0,-1275676,-420650,MISSED
NORMAL,0,0,96,68,62,1,58,53,24,0,-742450,-420650,ALLOWED (Correct)
ATTACK,56,512,272,0,508,0,0,26,104,1,377175,-420650,BLOCKED (Correct)
ATTACK,1,512,96,28,508,1,504,25,11,1,-241359,-420650,BLOCKED (Correct)
ATTACK,0,0,96,28,508,1,504,16,8,1,-263142,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,-263142,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,229,14,1,-111089,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,-111089,-420650,BLOCKED (Correct)
NORMAL,0,0,96,164,62,1,58,19,39,0,-763725,-420650,ALLOWED (Correct)
NORMAL,0,0,512,0,0,0,0,11,0,0,-763725,-420650,ALLOWED (Correct)
NORMAL,0,0,96,116,62,1,58,70,71,0,-705830,-420650,ALLOWED (Correct)
NORMAL,0,0,272,4,62,0,58,21,1,0,-726084,-420650,ALLOWED (Correct)
NORMAL,0,0,96,52,62,1,58,21,22,0,-761596,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650,BLOCKED (Correct)
ATTACK,0,0,96,60,508,1,504,16,11,1,-261508,-420650,BLOCKED (Correct)
NORMAL,0,0,96,292,62,1,58,17,65,0,-1275676,-420650,ALLOWED (Correct)
