label,dur,rate,proto,dpkts,sttl,dwin,dttl,smean,sbytes,decision,nn_output,threshold
ATTACK,0,0,512,4,508,0,120,54,7,1,295085,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650
NORMAL,0,0,96,68,62,1,58,48,25,0,-579925,-420650
ATTACK,2,512,96,364,124,1,504,13,23,1,747019,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,835329,-420650
NORMAL,0,0,96,68,62,1,58,48,25,0,-579925,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,835627,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650
NORMAL,2,512,96,164,62,1,58,27,33,0,-419221,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-601625,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,834958,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650
NORMAL,0,0,96,68,62,1,58,91,58,0,-490296,-420650
NORMAL,0,0,96,292,62,1,58,17,65,0,-709412,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,836126,-420650
NORMAL,0,0,96,68,62,1,58,53,24,0,-571005,-420650
ATTACK,56,512,272,0,508,0,0,26,104,1,377301,-420650
ATTACK,1,512,96,28,508,1,504,25,11,1,181822,-420650
ATTACK,0,0,96,28,508,1,504,16,8,1,173604,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,837640,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650
ATTACK,0,0,272,0,508,0,0,229,14,1,-111089,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,838883,-420650
NORMAL,0,0,96,164,62,1,58,19,39,0,-424743,-420650
NORMAL,0,0,512,0,0,0,0,11,0,1,837861,-420650
NORMAL,0,0,96,116,62,1,58,70,71,0,-453593,-420650
NORMAL,0,0,272,4,62,0,58,21,1,0,-601466,-420650
NORMAL,0,0,96,52,62,1,58,21,22,0,-642899,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650
ATTACK,0,0,96,60,508,1,504,16,11,1,211184,-420650
NORMAL,0,0,96,292,62,1,58,17,65,0,-711271,-420650
ATTACK,8,512,96,28,508,1,504,16,8,1,173604,-420650
ATTACK,6,512,512,0,508,0,0,41,36,1,812774,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,809272,-420650
ATTACK,1,512,96,116,124,1,504,511,512,1,950536,-420650
ATTACK,1,512,96,84,124,1,504,54,28,1,596499,-420650
ATTACK,15,273,272,0,508,0,0,45,6,1,-40922,-420650
NORMAL,0,0,96,28,62,1,58,14,4,0,-680726,-420650
NORMAL,0,0,96,92,62,1,58,34,31,0,-545635,-420650
ATTACK,0,0,512,0,508,0,0,27,2,1,808214,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650
ATTACK,0,0,96,28,508,1,504,16,8,1,173604,-420650
NORMAL,0,0,96,364,62,1,58,16,80,0,-515531,-420650
NORMAL,0,0,272,0,508,0,0,223,14,1,-112852,-420650
ATTACK,0,0,96,36,124,1,504,10,6,1,523142,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650
ATTACK,1,512,96,28,508,1,504,16,8,1,173604,-420650
NORMAL,0,0,96,4,508,1,120,9,3,1,-158050,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,807591,-420650
ATTACK,0,0,96,28,124,1,504,10,5,1,518797,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,804656,-420650
ATTACK,0,0,96,28,508,1,504,16,8,1,173604,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,801888,-420650
ATTACK,1,512,96,28,508,1,504,12,7,1,172280,-420650
NORMAL,0,0,96,36,62,1,58,54,16,0,-627102,-420650
ATTACK,1,512,96,36,508,1,504,15,11,1,180605,-420650
ATTACK,0,0,512,0,508,0,0,148,9,1,792093,-420650
ATTACK,0,0,512,0,508,0,0,33,2,1,789345,-420650
NORMAL,0,0,96,164,62,1,58,345,512,1,-266570,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,787144,-420650
NORMAL,1,512,96,68,62,1,58,48,25,0,-579925,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-601625,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650
ATTACK,0,0,96,28,124,1,504,10,5,1,518797,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,785024,-420650
ATTACK,0,0,272,0,508,0,0,30,2,1,-44267,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,-47988,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,782259,-420650
NORMAL,0,0,96,164,62,1,58,339,512,1,-267586,-420650
NORMAL,0,0,96,140,62,1,58,20,34,0,-458760,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,780110,-420650
NORMAL,0,0,96,20,508,1,504,14,7,1,162133,-420650
ATTACK,0,0,96,76,124,1,504,12,14,1,552948,-420650
